date, pm25, o3, no2, so2, co
2024/8/21, 22, 24, 9, , 
2024/8/22, 32, 31, 14, , 
2024/8/23, 37, 37, 14, , 
2024/8/24, 44, 47, 15, , 
2024/8/25, 55, 47, 18, , 
2024/8/26, 58, 34, 13, , 
2024/8/27, 54, 20, 9, , 
2024/8/28, 30, 20, 8, , 
2024/8/29, 21, 20, 11, , 
2024/8/30, 21, 29, 9, , 
2024/8/31, 32, 23, 6, , 
2024/9/1, 38, 23, 4, , 
2024/9/2, 14, 21, 12, , 
2024/9/3, 22, 23, 18, , 
2024/9/4, 38, 36, 12, , 
2024/9/5, 30, 32, 8, , 
2024/9/6, 27, 14, 4, , 
2024/9/7, 10, 21, 5, , 
2024/9/8, 12, 15, 11, , 
2024/9/9, 33, 20, 13, , 
2024/9/10, 36, 20, 22, , 
2024/9/11, 35, 14, 22, , 
2024/9/12, 39, 31, 25, , 
2024/9/13, 47, 29, 14, , 
2024/9/14, 40, 30, 13, , 
2024/9/15, 47, 27, 21, , 
2024/9/16, 51, 33, 13, , 
2024/9/17, 38, 30, 14, , 
2024/9/18, 33, 23, 13, , 
2024/9/19, 34, 29, 19, , 
2024/9/20, 42, 25, 8, , 
2024/9/21, 49, 25, 8, , 
2024/9/22, 43, 27, 7, , 
2024/9/23, 25, 10, 8, , 
2024/9/24, 15, 20, 5, , 
2024/9/25, 16, 22, 13, , 
2024/9/26, 22, 19, 10, , 
2024/9/27, 25, 18, 4, , 
2024/9/28, 21, 17, 6, , 
2024/9/29, 47, 17, 8, , 
2024/9/30, 27, 28, 7, , 
2024/4/1, 26, 26, 8, , 
2024/4/2, 13, 25, 7, , 
2024/4/3, 16, 25, 11, , 
2024/4/4, 20, 22, 11, , 
2024/4/5, 20, 26, 10, , 
2024/4/6, 24, 28, 11, , 
2024/4/7, 17, 20, 20, , 
2024/4/8, 26, 27, 34, , 
2024/4/9, 54, 27, 19, , 
2024/4/10, 40, 26, 11, , 
2024/4/11, 22, 25, 9, , 
2024/4/12, 19, 33, 6, , 
2024/4/13, 15, 26, 20, , 
2024/4/14, 34, 31, 10, , 
2024/4/15, 26, 26, 17, , 
2024/4/16, 19, 27, 7, , 
2024/4/17, 17, 19, 14, , 
2024/4/18, 30, 29, 11, , 
2024/4/19, 26, 26, 7, , 
2024/4/20, 19, 32, 7, , 
2024/4/21, 17, 36, 12, , 
2024/4/22, 26, 38, 8, , 
2024/4/23, 31, 28, 8, , 
2024/4/24, 20, 25, 12, , 
2024/4/25, 14, 33, 15, , 
2024/4/26, 18, 30, 16, , 
2024/4/27, 25, 24, 14, , 
2024/4/28, 45, 20, 7, , 
2024/4/29, 17, 13, 22, , 
2024/4/30, 32, 17, 20, , 
2024/5/1, 36, 25, 11, , 
2024/5/2, 17, 22, 15, , 
2024/5/3, 16, 28, 11, , 
2024/5/4, 30, 18, 16, , 
2024/5/5, 16, 28, 11, , 
2024/5/6, 15, 24, 14, , 
2024/5/7, 20, 36, 9, , 
2024/5/8, 19, 18, 11, , 
2024/5/9, 15, 19, 11, , 
2024/5/10, 21, 24, 9, , 
2024/5/11, 27, 28, 6, , 
2024/5/12, 20, 34, 12, , 
2024/5/13, 20, 24, 22, , 
2024/5/14, 56, 19, 14, , 
2024/5/15, 41, 20, 16, , 
2024/5/16, 46, 22, 19, , 
2024/5/17, 23, 25, 11, , 
2024/5/18, 26, 23, 21, , 
2024/5/19, 33, 35, 24, , 
2024/5/20, 53, 37, 20, , 
2024/5/21, 44, 36, 9, , 
2024/5/22, 47, 38, 10, , 
2024/5/23, 28, 32, 15, , 
2024/5/24, 32, 20, 13, , 
2024/5/25, 24, 42, 13, , 
2024/5/26, 44, 33, 6, , 
2024/5/27, 17, 20, 12, , 
2024/5/28, 26, 28, 11, , 
2024/5/29, 27, 32, 11, , 
2024/5/30, 20, 37, 14, , 
2024/5/31, 24, 44, 19, , 
2024/6/1, 46, 42, 13, , 
2024/6/2, 44, 27, 23, , 
2024/6/3, 49, 36, 24, , 
2024/6/4, 42, 32, 20, , 
2024/6/5, 42, 34, 11, , 
2024/6/6, 27, 23, 9, , 
2024/6/7, 22, 23, 6, , 
2024/6/8, 23, 23, 7, , 
2024/6/9, 29, 19, 7, , 
2024/6/10, 24, 23, 8, , 
2024/6/11, 32, 24, 20, , 
2024/6/12, 49, 54, 11, , 
2024/6/13, 33, 32, 10, , 
2024/6/14, 31, 28, 8, , 
2024/6/15, 31, 28, 15, , 
2024/6/16, 30, 41, 16, , 
2024/6/17, 40, 34, 18, , 
2024/6/18, 46, 43, 13, , 
2024/6/19, 15, 45, 15, , 
2024/6/20, 5, 19, 15, , 
2024/6/21, 8, 28, 11, , 
2024/6/22, 5, 36, 4, , 
2024/6/23, 7, 28, 6, , 
2024/6/24, 11, 39, 13, , 
2024/6/25, 54, 25, 13, , 
2024/6/26, 27, 22, 6, , 
2024/6/27, 17, 21, 9, , 
2024/6/28, 21, 23, 8, , 
2024/6/29, 27, 17, 4, , 
2024/6/30, 25, 21, 7, , 
2024/1/1, 12, 16, 8, , 
2024/1/2, 30, 11, 11, , 
2024/1/3, 38, 22, 9, , 
2024/1/4, 17, 23, 11, , 
2024/1/5, 36, 22, 11, , 
2024/1/6, 44, 11, 15, , 
2024/1/7, 31, 13, 20, , 
2024/1/8, 48, 20, 9, , 
2024/1/9, 30, 19, 7, , 
2024/1/10, 15, 17, 14, , 
2024/1/11, 28, 18, 10, , 
2024/1/12, 20, 25, 5, , 
2024/1/13, 11, 22, 7, , 
2024/1/14, 28, 17, 14, , 
2024/1/15, 37, 18, 18, , 
2024/1/16, 49, 26, 12, , 
2024/1/17, 44, 18, 17, , 
2024/1/18, 53, 17, 13, , 
2024/1/19, 28, 19, 12, , 
2024/1/20, 21, 23, 12, , 
2024/1/21, 17, 22, 13, , 
2024/1/22, 39, 19, 19, , 
2024/1/23, 55, 15, 12, , 
2024/1/24, 35, 15, 17, , 
2024/1/25, 40, 13, 12, , 
2024/1/26, 23, 13, 15, , 
2024/1/27, 47, 16, 9, , 
2024/1/28, 18, 15, 10, , 
2024/1/29, 17, 18, 11, , 
2024/1/30, 21, 14, 13, , 
2024/1/31, 55, 11, 13, , 
2024/2/1, 46, 13, 4, , 
2024/2/2, 24, 14, 4, , 
2024/2/3, 33, 13, 5, , 
2024/2/4, 45, 19, 3, , 
2024/2/5, 21, 23, 5, , 
2024/2/6, 16, 24, 4, , 
2024/2/7, 26, 14, 4, , 
2024/2/8, 50, 26, 2, , 
2024/2/9, 39, 20, 2, , 
2024/2/10, 41, 17, 2, , 
2024/2/11, 19, 19, 2, , 
2024/2/12, 19, 23, 5, , 
2024/2/13, 39, 24, 4, , 
2024/2/14, 14, 22, 10, , 
2024/2/15, 33, 19, 12, , 
2024/2/16, 15, 20, 10, , 
2024/2/17, 19, 26, 7, , 
2024/2/18, 34, 22, 11, , 
2024/2/19, 16, 25, 23, , 
2024/2/20, 39, 31, 16, , 
2024/2/21, 50, 28, 22, , 
2024/2/22, 56, 18, 21, , 
2024/2/23, 54, 24, 11, , 
2024/2/24, 25, 24, 11, , 
2024/2/25, 29, 26, 18, , 
2024/2/26, 37, 30, 18, , 
2024/2/27, 51, 26, 6, , 
2024/2/28, 32, 24, 11, , 
2024/2/29, 10, 21, 18, , 
2024/3/1, 30, 25, 16, , 
2024/3/2, 45, 22, 13, , 
2024/3/3, 33, 18, 14, , 
2024/3/4, 35, 22, 23, , 
2024/3/5, 49, 19, 8, , 
2024/3/6, 18, 20, 12, , 
2024/3/7, 20, 24, 7, , 
2024/3/8, 22, 22, 8, , 
2024/3/9, 16, 23, 6, , 
2024/3/10, 12, 26, 10, , 
2024/3/11, 18, 18, 29, , 
2024/3/12, 61, 27, 25, , 
2024/3/13, 64, 26, 25, , 
2024/3/14, 47, 24, 11, , 
2024/3/15, 28, 27, 9, , 
2024/3/16, 28, 22, 7, , 
2024/3/17, 25, 26, 10, , 
2024/3/18, 13, 23, 11, , 
2024/3/19, 22, 23, 10, , 
2024/3/20, 19, 23, 11, , 
2024/3/21, 15, 21, 19, , 
2024/3/22, 20, 25, 11, , 
2024/3/23, 24, 28, 11, , 
2024/3/24, 16, 32, 11, , 
2024/3/25, 26, 26, 16, , 
2024/3/26, 35, 25, 10, , 
2024/3/27, 38, 26, 11, , 
2024/3/28, 37, 28, 11, , 
2024/3/29, 29, 28, 12, , 
2024/3/30, 19, 30, 8, , 
2024/3/31, 23, 28, 13, , 
2023/10/1, 42, 31, 13, , 
2023/10/2, 35, 46, 21, , 
2023/10/3, 56, 25, 25, , 
2023/10/4, 62, 33, 10, , 
2023/10/5, 48, 34, 7, , 
2023/10/6, 24, 20, 6, , 
2023/10/7, 16, 18, 3, , 
2023/10/8, 10, 23, 3, , 
2023/10/9, 14, 18, 8, , 
2023/10/10, 23, 8, 10, , 
2023/10/11, 25, 8, 12, , 
2023/10/12, 28, 13, 11, , 
2023/10/13, 23, 12, 7, , 
2023/10/14, 17, 12, 5, , 
2023/10/15, 14, 14, 5, , 
2023/10/16, 24, 14, 10, , 
2023/10/17, 26, 24, 11, , 
2023/10/18, 29, 28, 9, , 
2023/10/19, 34, 26, 9, , 
2023/10/20, 39, 13, 6, , 
2023/10/21, 25, 21, 4, , 
2023/10/22, 18, 21, 14, , 
2023/10/23, 20, 22, 13, , 
2023/10/24, 34, 26, 15, , 
2023/10/25, 47, 26, 15, , 
2023/10/26, 48, 23, 12, , 
2023/10/27, 41, 15, 4, , 
2023/10/28, 26, 12, 5, , 
2023/10/29, 11, 15, 11, , 
2023/10/30, 19, 19, 14, , 
2023/10/31, 29, 15, 12, , 
2023/11/1, 28, 20, 10, , 
2023/11/2, 29, 32, 9, , 
2023/11/3, 33, 27, 13, , 
2023/11/4, 44, 22, 9, , 
2023/11/5, 30, 25, 9, , 
2023/11/6, 36, 21, 7, , 
2023/11/7, 29, 22, 10, , 
2023/11/8, 16, 18, 10, , 
2023/11/9, 22, 17, 11, , 
2023/11/10, 28, 15, 11, , 
2023/11/11, 22, 23, 11, , 
2023/11/12, 20, 22, 9, , 
2023/11/13, 25, 14, 9, , 
2023/11/14, 19, 14, 14, , 
2023/11/15, 37, 22, 28, , 
2023/11/16, 68, 31, 9, , 
2023/11/17, 38, 20, 13, , 
2023/11/18, 23, 19, 9, , 
2023/11/19, 26, 20, 10, , 
2023/11/20, 17, 18, 12, , 
2023/11/21, 21, 10, 13, , 
2023/11/22, 16, 21, 11, , 
2023/11/23, 31, 23, 11, , 
2023/11/24, 20, 17, 14, , 
2023/11/25, 23, 18, 12, , 
2023/11/26, 41, 23, 7, , 
2023/11/27, 25, 19, 10, , 
2023/11/28, 18, 22, 10, , 
2023/11/29, 29, 21, 13, , 
2023/11/30, 59, 15, 15, , 
2023/12/1, 45, 11, 11, , 
2023/12/2, 32, 13, 10, , 
2023/12/3, 26, 20, 10, , 
2023/12/4, 18, 20, 15, , 
2023/12/5, 29, 18, 12, , 
2023/12/6, 19, 13, 14, , 
2023/12/7, 58, 8, 15, , 
2023/12/8, 68, 21, 12, , 
2023/12/9, 33, 21, 6, , 
2023/12/10, 20, 28, 8, , 
2023/12/11, 12, 20, 9, , 
2023/12/12, 34, 20, 11, , 
2023/12/13, 23, 8, 18, , 
2023/12/14, 38, 16, 17, , 
2023/12/15, 61, 18, 14, , 
2023/12/16, 49, 30, 10, , 
2023/12/17, 41, 18, 12, , 
2023/12/18, 30, 25, 10, , 
2023/12/19, 12, 14, 15, , 
2023/12/20, 36, 16, 12, , 
2023/12/21, 28, 16, 11, , 
2023/12/22, 24, 11, 12, , 
2023/12/23, 44, 7, 14, , 
2023/12/24, 60, 11, 7, , 
2023/12/25, 64, 20, 10, , 
2023/12/26, 54, 19, 9, , 
2023/12/27, 26, 14, 11, , 
2023/12/28, 20, 14, 11, , 
2023/12/29, 38, 20, 8, , 
2023/12/30, 22, 15, 8, , 
2023/12/31, 18, 16, 8, , 
2023/7/1, 82, 35, 15, , 
2023/7/2, 67, 35, 11, , 
2023/7/3, 35, 20, 22, , 
2023/7/4, 47, 40, 17, , 
2023/7/5, 53, 37, 15, , 
2023/7/6, 39, 32, 8, , 
2023/7/7, 32, 33, 8, , 
2023/7/8, 26, 40, 9, , 
2023/7/9, 20, 39, 13, , 
2023/7/10, 31, 43, 12, , 
2023/7/11, 35, 38, 15, , 
2023/7/12, 21, 35, 9, , 
2023/7/13, 25, 39, 17, , 
2023/7/14, 29, 36, 10, , 
2023/7/15, 31, 40, 10, , 
2023/7/16, 35, 44, 11, , 
2023/7/17, 72, 41, 17, , 
2023/7/18, 44, 27, 11, , 
2023/7/19, 18, 47, 14, , 
2023/7/20, 31, 30, 8, , 
2023/7/21, 33, 35, 9, , 
2023/7/22, 40, 41, 13, , 
2023/7/23, 37, 44, 19, , 
2023/7/24, 42, 53, 23, , 
2023/7/25, 57, 52, 13, , 
2023/7/26, 79, 41, 13, , 
2023/7/27, 31, 42, 13, , 
2023/7/28, 62, 37, 6, , 
2023/7/29, 30, 28, 8, , 
2023/7/30, 16, 31, 7, , 
2023/7/31, 24, 37, 12, , 
2023/8/1, 14, 33, 16, , 
2023/8/2, 33, 44, 12, , 
2023/8/3, 60, 38, 10, , 
2023/8/4, 53, 33, 6, , 
2023/8/5, 50, 31, 8, , 
2023/8/6, 31, 33, 5, , 
2023/8/7, 21, 32, 7, , 
2023/8/8, 29, 42, 17, , 
2023/8/9, 50, 39, 14, , 
2023/8/10, 49, 32, 10, , 
2023/8/11, 19, 40, 10, , 
2023/8/12, 22, 28, 5, , 
2023/8/13, 19, 27, 10, , 
2023/8/14, 22, 25, 13, , 
2023/8/15, 37, 42, 13, , 
2023/8/16, 77, 44, 10, , 
2023/8/17, 52, 31, 7, , 
2023/8/18, 22, 33, 11, , 
2023/8/19, 48, 39, 18, , 
2023/8/20, 57, 32, 7, , 
2023/8/21, 40, 29, 8, , 
2023/8/22, 25, 30, 21, , 
2023/8/23, 27, 28, 17, , 
2023/8/24, 32, 27, 11, , 
2023/8/25, 29, 26, 9, , 
2023/8/26, 23, 29, 6, , 
2023/8/27, 16, 32, 15, , 
2023/8/28, 21, 40, 20, , 
2023/8/29, 22, 30, 7, , 
2023/8/30, 14, 32, 9, , 
2023/8/31, 15, 44, 15, , 
2023/9/1, 17, 40, 9, , 
2023/9/2, 19, 41, 12, , 
2023/9/3, 38, 45, 11, , 
2023/9/4, 55, 49, 20, , 
2023/9/5, 572, 51, 17, , 
2023/9/6, 10, 40, 11, , 
2023/9/7, 25, 24, 5, , 
2023/9/8, 9, 24, 10, , 
2023/9/9, 11, 30, 8, , 
2023/9/10, 16, 24, 9, , 
2023/9/11, 37, 21, 8, , 
2023/9/12, 30, 14, 7, , 
2023/9/13, 22, 21, 9, , 
2023/9/14, 34, 29, 10, , 
2023/9/15, 29, 33, 16, , 
2023/9/16, 41, 40, 14, , 
2023/9/17, 46, 16, 9, , 
2023/9/18, 49, 21, 7, , 
2023/9/19, 27, 26, 12, , 
2023/9/20, 22, 25, 14, , 
2023/9/21, 34, 22, 9, , 
2023/9/22, 28, 24, 6, , 
2023/9/23, 38, 24, 6, , 
2023/9/24, 45, 21, 7, , 
2023/9/25, 44, 16, 8, , 
2023/9/26, 50, 23, 7, , 
2023/9/27, 31, 29, 8, , 
2023/9/28, 30, 22, 10, , 
2023/9/29, 37, 27, 10, , 
2023/9/30, 38, 31, 17, , 
2023/4/1, 22, 31, 7, , 
2023/4/2, 15, 28, 16, , 
2023/4/3, 30, 28, 17, , 
2023/4/4, 35, 27, 13, , 
2023/4/5, 31, 23, 13, , 
2023/4/6, 18, 31, 6, , 
2023/4/7, 17, 32, 12, , 
2023/4/8, 23, 36, 13, , 
2023/4/9, 32, 38, 22, , 
2023/4/10, 49, 35, 18, , 
2023/4/11, 51, 37, 20, , 
2023/4/12, 48, 35, 21, , 
2023/4/13, 52, 38, 37, , 
2023/4/14, 72, 39, 22, , 
2023/4/15, 52, 41, 20, , 
2023/4/16, 64, 23, 8, , 
2023/4/17, 17, 25, 9, , 
2023/4/18, 21, 28, 10, , 
2023/4/19, 18, 36, 9, , 
2023/4/20, 22, 29, 14, , 
2023/4/21, 24, 25, 11, , 
2023/4/22, 24, 27, 8, , 
2023/4/23, 35, 20, 14, , 
2023/4/24, 30, 29, 14, , 
2023/4/25, 41, 17, 17, , 
2023/4/26, 29, 24, 17, , 
2023/4/27, 32, 30, 11, , 
2023/4/28, 39, 35, 9, , 
2023/4/29, 25, 22, 10, , 
2023/4/30, 24, 21, 12, , 
2023/5/1, 34, 19, 8, , 
2023/5/2, 15, 15, 15, , 
2023/5/3, 21, 21, 12, , 
2023/5/4, 22, 25, 13, , 
2023/5/5, 28, 28, 26, , 
2023/5/6, 44, 30, 21, , 
2023/5/7, 36, 32, 10, , 
2023/5/8, 23, 26, 11, , 
2023/5/9, 19, 30, 19, , 
2023/5/10, 32, 28, 30, , 
2023/5/11, 56, 44, 24, , 
2023/5/12, 50, 30, 8, , 
2023/5/13, 35, 28, 6, , 
2023/5/14, 20, 30, 13, , 
2023/5/15, 30, 31, 16, , 
2023/5/16, 44, 29, 7, , 
2023/5/17, 20, 29, 15, , 
2023/5/18, 25, 33, 15, , 
2023/5/19, 36, 21, 11, , 
2023/5/20, 50, 26, 9, , 
2023/5/21, 27, 26, 9, , 
2023/5/22, 23, 28, 16, , 
2023/5/23, 31, 28, 15, , 
2023/5/24, 36, 22, 8, , 
2023/5/25, 17, 29, 17, , 
2023/5/26, 30, 36, 18, , 
2023/5/27, 30, 43, 25, , 
2023/5/28, 49, 37, 12, , 
2023/5/29, 39, 40, 26, , 
2023/5/30, 48, 56, 28, , 
2023/5/31, 57, 44, 33, , 
2023/6/1, 69, 45, 18, , 
2023/6/2, 58, 31, 6, , 
2023/6/3, 35, 33, 6, , 
2023/6/4, 29, 30, 20, , 
2023/6/5, 61, 35, 7, , 
2023/6/6, 97, 34, 7, , 
2023/6/7, 87, 22, 10, , 
2023/6/8, 67, 22, 12, , 
2023/6/9, 64, 34, 16, , 
2023/6/10, 71, 33, 13, , 
2023/6/11, 66, 32, 9, , 
2023/6/12, 40, 32, 12, , 
2023/6/13, 37, 25, 13, , 
2023/6/14, 26, 22, 18, , 
2023/6/15, 37, 20, 9, , 
2023/6/16, 65, 30, 8, , 
2023/6/17, 61, 36, 9, , 
2023/6/18, 84, 25, 8, , 
2023/6/19, 26, 24, 8, , 
2023/6/20, 24, 30, 13, , 
2023/6/21, 41, 29, 13, , 
2023/6/22, 37, 24, 13, , 
2023/6/23, 18, 24, 12, , 
2023/6/24, 26, 34, 10, , 
2023/6/25, 41, 33, 7, , 
2023/6/26, 24, 26, 9, , 
2023/6/27, 36, 36, 7, , 
2023/6/28, 137, 43, 15, , 
2023/6/29, 86, 47, 15, , 
2023/6/30, 154, 44, 13, , 
2023/1/2, 60, 13, 11, , 
2023/1/3, 54, 14, 9, , 
2023/1/4, 23, 14, 14, , 
2023/1/5, 26, 14, 12, , 
2023/1/6, 43, 22, 10, , 
2023/1/7, 29, 20, 9, , 
2023/1/8, 29, 16, 12, , 
2023/1/9, 52, 16, 15, , 
2023/1/10, 24, 16, 11, , 
2023/1/11, 36, 12, 14, , 
2023/1/12, 59, 21, 9, , 
2023/1/13, 15, 19, 15, , 
2023/1/14, 22, 19, 22, , 
2023/1/15, 23, 21, 19, , 
2023/1/16, 23, 18, 21, , 
2023/1/17, 43, 15, 13, , 
2023/1/18, 25, 17, 11, , 
2023/1/19, 29, 15, 12, , 
2023/1/20, 31, 17, 11, , 
2023/1/21, 28, 16, 10, , 
2023/1/22, 40, 20, 12, , 
2023/1/23, 36, 19, 14, , 
2023/1/24, 43, 18, 13, , 
2023/1/25, 34, 14, 15, , 
2023/1/26, 20, 24, 12, , 
2023/1/27, 42, 21, 12, , 
2023/1/28, 34, 19, 15, , 
2023/1/29, 41, 20, 16, , 
2023/1/30, 22, 19, 18, , 
2023/1/31, 24, 25, 18, , 
2023/2/1, 43, 24, 14, , 
2023/2/2, 50, 22, 11, , 
2023/2/3, 16, 23, 17, , 
2023/2/4, 26, 21, 13, , 
2023/2/5, 39, 23, 13, , 
2023/2/6, 46, 22, 11, , 
2023/2/7, 52, 20, 16, , 
2023/2/8, 54, 18, 14, , 
2023/2/9, 53, 19, 9, , 
2023/2/10, 16, 24, 9, , 
2023/2/11, 20, 18, 14, , 
2023/2/12, 40, 21, 18, , 
2023/2/13, 55, 25, 17, , 
2023/2/14, 50, 26, 10, , 
2023/2/15, 33, 19, 10, , 
2023/2/16, 30, 22, 10, , 
2023/2/17, 16, 23, 11, , 
2023/2/18, 30, 27, 8, , 
2023/2/19, 35, 26, 10, , 
2023/2/20, 26, 22, 11, , 
2023/2/21, 27, 21, 12, , 
2023/2/22, 20, 22, 16, , 
2023/2/23, 15, 23, 14, , 
2023/2/24, 22, 25, 11, , 
2023/2/25, 16, 29, 9, , 
2023/2/26, 41, 28, 14, , 
2023/2/27, 19, 24, 16, , 
2023/2/28, 22, 23, 14, , 
2023/3/1, 40, 24, 16, , 
2023/3/2, 39, 32, 11, , 
2023/3/3, 21, 28, 11, , 
2023/3/4, 25, 30, 15, , 
2023/3/5, 53, 16, 25, , 
2023/3/6, 39, 33, 9, , 
2023/3/7, 21, 28, 9, , 
2023/3/8, 22, 26, 14, , 
2023/3/9, 23, 24, 12, , 
2023/3/10, 23, 23, 10, , 
2023/3/11, 16, 22, 16, , 
2023/3/12, 23, 21, 18, , 
2023/3/13, 40, 28, 9, , 
2023/3/14, 17, 27, 14, , 
2023/3/15, 21, 36, 15, , 
2023/3/16, 45, 35, 8, , 
2023/3/17, 36, 27, 7, , 
2023/3/18, 18, 32, 7, , 
2023/3/19, 15, 32, 10, , 
2023/3/20, 26, 26, 13, , 
2023/3/21, 40, 28, 16, , 
2023/3/22, 51, 25, 14, , 
2023/3/23, 56, 24, 13, , 
2023/3/24, 29, 27, 8, , 
2023/3/25, 28, 34, 6, , 
2023/3/26, 23, 23, 22, , 
2023/3/27, 36, 25, 16, , 
2023/3/28, 38, 30, 14, , 
2023/3/29, 36, 31, 14, , 
2023/3/30, 24, 29, 15, , 
2023/3/31, 35, 30, 9, , 
2022/10/1, 38, 15, 6, , 
2022/10/2, 22, 20, 9, , 
2022/10/3, 14, 13, 24, , 
2022/10/4, 32, 24, 26, , 
2022/10/5, 40, 35, 23, , 
2022/10/6, 51, 18, 6, , 
2022/10/7, 27, 22, 8, , 
2022/10/8, 15, 21, 6, , 
2022/10/9, 34, 22, 7, , 
2022/10/10, 27, 34, 22, , 
2022/10/11, 42, 34, 21, , 
2022/10/12, 67, 30, 13, , 
2022/10/13, 54, 24, 10, , 
2022/10/14, 41, 25, 5, , 
2022/10/15, 25, 15, 9, , 
2022/10/16, 40, 13, 9, , 
2022/10/17, 29, 8, 9, , 
2022/10/18, 16, 11, 9, , 
2022/10/19, 24, 13, 11, , 
2022/10/20, 26, 35, 15, , 
2022/10/21, 47, 34, 13, , 
2022/10/22, 47, 32, 14, , 
2022/10/23, 51, 23, 27, , 
2022/10/24, 53, 21, 15, , 
2022/10/25, 43, 14, 13, , 
2022/10/26, 35, 13, 9, , 
2022/10/27, 18, 13, 13, , 
2022/10/28, 30, 14, 21, , 
2022/10/29, 41, 11, 22, , 
2022/10/30, 54, 7, 27, , 
2022/10/31, 59, 9, 23, , 
2022/11/1, 58, 13, 29, , 
2022/11/2, 80, 14, 18, , 
2022/11/3, 72, 29, 19, , 
2022/11/4, 48, 28, 4, , 
2022/11/5, 24, 26, 4, , 
2022/11/6, 19, 18, 8, , 
2022/11/7, 35, 16, 11, , 
2022/11/8, 16, 20, 17, , 
2022/11/9, 27, 26, 12, , 
2022/11/10, 45, 23, 15, , 
2022/11/11, 64, 12, 6, , 
2022/11/12, 44, 20, 6, , 
2022/11/13, 20, 21, 14, , 
2022/11/14, 19, 16, 14, , 
2022/11/15, 29, 14, 19, , 
2022/11/16, 38, 17, 16, , 
2022/11/17, 26, 15, 12, , 
2022/11/18, 44, 18, 7, , 
2022/11/19, 24, 21, 7, , 
2022/11/20, 22, 20, 10, , 
